City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
215,Surt,LY,31.2089,16.5887,85.5,57,0,13.24,clear sky
216,Hami,CN,42.8,93.45,76.91,16,1,3.74,clear sky
217,Kalashnikovo,RU,57.2824,35.2262,69.78,51,100,1.14,overcast clouds
218,Makuyuni,TZ,-4.7333,38.1,75.52,57,50,7.29,scattered clouds
219,Kilimatinde,TZ,-5.85,34.95,80.24,33,32,4.45,scattered clouds
220,Arroyo,ES,41.6096,-4.7969,80.64,44,20,2.3,few clouds
221,Abu Dhabi,AE,24.4667,54.3667,93.31,64,0,9.22,clear sky
222,Parambu,BR,-6.2111,-40.6944,93.4,22,53,6.22,broken clouds
223,Durant,US,33.994,-96.3708,87.73,67,0,9.22,clear sky
224,Osorno,CL,-40.5667,-73.15,39.51,93,100,1.14,fog
225,Whitehorse,CA,60.7161,-135.0538,48.97,89,75,2.3,broken clouds
226,Coihaique,CL,-45.5752,-72.0662,41.61,75,0,4.61,clear sky
227,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,0.0,scattered clouds
228,Diplo,PK,24.4667,69.584,83.3,70,98,8.3,overcast clouds
229,Ostrovnoy,RU,68.0531,39.5131,48.54,78,87,27.56,overcast clouds
230,Pinega,RU,64.7001,43.3936,59.25,55,100,6.22,overcast clouds
231,Cidreira,BR,-30.1811,-50.2056,54.64,56,98,8.86,overcast clouds
232,Cilegon,ID,-6.0174,106.0538,77.16,84,33,4.97,scattered clouds
233,Kasungu,MW,-13.0333,33.4833,71.85,29,4,6.89,clear sky
234,Farias Brito,BR,-6.9306,-39.5656,88.48,19,45,7.05,scattered clouds
235,Laguna,US,38.421,-121.4238,77.09,74,0,6.91,clear sky
236,Urusha,RU,54.05,122.9,52.38,98,100,3.2,overcast clouds
237,Sorland,NO,67.667,12.6934,49.86,75,100,14.99,overcast clouds
238,Sobolevo,RU,54.4299,31.8996,68.41,60,55,5.19,broken clouds
239,Opuwo,NA,-18.0607,13.84,87.3,12,13,6.29,few clouds
240,Husavik,IS,66.0449,-17.3389,61.59,57,96,5.59,overcast clouds
241,Mitsamiouli,KM,-11.3847,43.2844,79.09,65,20,8.05,few clouds
242,Krasnoarmeysk,RU,51.0239,45.6969,81.16,25,75,6.71,broken clouds
243,Viedma,AR,-40.8135,-62.9967,64.65,17,37,25.23,scattered clouds
244,Itaparica,BR,-12.8883,-38.6786,80.53,62,34,7.92,scattered clouds
245,Kitimat,CA,54.0524,-128.6534,59.38,26,100,4.05,moderate rain
246,Guarapari,BR,-20.6667,-40.4975,71.89,80,75,19.35,broken clouds
247,Matamoros,MX,25.5333,-103.25,81.61,53,99,7.49,overcast clouds
248,Acapulco,MX,16.8634,-99.8901,82.22,78,100,4.61,overcast clouds
249,Saint George,US,37.1041,-113.5841,84.79,33,0,1.01,clear sky
250,Anton Lizardo,MX,19.05,-95.9833,84.22,76,24,8.14,few clouds
251,Malanville,BJ,11.8685,3.3899,84.0,70,100,6.33,light rain
252,Tibati,CM,6.4667,12.6333,74.82,81,40,5.41,light rain
253,Ulaangom,MN,49.9811,92.0667,51.82,52,0,1.74,clear sky
254,Sujiatun,CN,41.6592,123.3392,62.78,94,75,4.47,broken clouds
255,Glenwood Springs,US,39.5505,-107.3248,70.34,43,0,1.99,clear sky
256,Nishihara,JP,26.1842,127.7558,84.25,84,40,3.44,scattered clouds
257,Lazaro Cardenas,MX,17.9583,-102.2,77.92,89,99,2.28,overcast clouds
258,Portland,US,45.5234,-122.6762,70.75,74,0,4.0,clear sky
259,Keti Bandar,PK,24.1447,67.4497,81.18,76,73,8.21,broken clouds
260,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,2.3,broken clouds
261,Nantucket,US,41.2835,-70.0995,78.94,83,40,9.22,scattered clouds
262,Kjollefjord,NO,70.9457,27.3465,46.45,76,75,13.8,broken clouds
263,Gobabis,NA,-22.45,18.9667,79.9,11,2,7.61,clear sky
264,Barra Patuca,HN,15.8,-84.2833,84.74,70,94,6.38,overcast clouds
265,Nikolayevsk-Na-Amure,RU,53.1406,140.73,51.69,88,3,3.83,clear sky
266,Saint-Francois,FR,46.4154,3.9054,90.68,27,0,3.44,clear sky
267,College,US,64.8569,-147.8028,48.29,93,75,0.0,mist
268,Martaban,MM,16.5314,97.6111,80.42,86,100,1.32,light rain
269,Cabo San Lucas,MX,22.8909,-109.9124,89.06,68,40,0.0,scattered clouds
270,Nicolas Bravo,MX,18.45,-88.9167,87.12,64,23,5.68,few clouds
271,Kununurra,AU,-15.7667,128.7333,67.98,73,0,0.0,clear sky
272,Baoro,CF,5.6667,15.9667,73.18,89,65,5.48,light rain
273,Santarem,BR,-2.4431,-54.7083,86.13,79,20,9.22,few clouds
274,Vaitape,PF,-16.5167,-151.75,78.58,68,60,11.74,broken clouds
275,Bien Hoa,VN,10.95,106.8167,82.38,90,5,5.39,clear sky
276,Aswan,EG,24.0934,32.907,110.5,14,0,0.0,clear sky
277,Padang,ID,-0.9492,100.3543,71.65,97,100,9.37,moderate rain
278,Ponta Do Sol,PT,32.6667,-17.1,77.0,69,58,2.13,broken clouds
279,Erzin,TR,36.9559,36.2,83.1,47,0,3.87,clear sky
280,Masalli,KR,34.7959,126.6553,73.08,80,89,4.85,overcast clouds
281,Udachnyy,RU,66.4167,112.4,39.52,87,96,11.5,overcast clouds
282,Exu,BR,-7.5119,-39.7242,88.74,26,32,9.82,scattered clouds
283,Outram,MY,1.2829,103.8379,80.44,91,75,2.3,broken clouds
284,Bengkulu,ID,-3.8004,102.2655,75.0,94,100,9.28,moderate rain
285,Katesh,TZ,-4.5167,35.3833,65.08,58,87,6.51,overcast clouds
286,Temirtau,KZ,50.0544,72.9483,63.05,34,3,7.49,clear sky
287,Pokosnoye,RU,55.5258,101.0536,43.88,86,100,19.84,moderate rain
288,Adre,TD,13.4667,22.2,74.97,75,71,15.73,light rain
289,Camabatela,AO,-8.1881,15.375,76.24,49,79,6.6,broken clouds
290,Puyo,EC,-1.4667,-77.9833,65.44,94,100,10.36,moderate rain
291,Nanortalik,GL,60.1432,-45.2371,40.14,93,93,11.1,overcast clouds
292,Preobrazheniye,RU,42.9019,133.9064,63.41,75,100,4.32,overcast clouds
293,Santa Maria,BR,-29.6842,-53.8069,52.9,54,20,12.66,few clouds
294,Nelson Bay,AU,-32.7167,152.15,62.1,92,100,5.99,overcast clouds
295,Tessalit,ML,20.1986,1.0114,91.63,35,93,15.21,overcast clouds
296,Niamey,NE,13.5137,2.1098,91.69,49,40,6.91,scattered clouds
297,Shache,CN,38.4167,77.2406,70.23,47,85,5.1,overcast clouds
298,Lokoja,NG,7.8024,6.743,77.49,88,97,2.93,light rain
299,Maridi,SS,4.9158,29.4742,72.79,84,91,2.51,overcast clouds
300,Iquique,CL,-20.2208,-70.1431,59.04,66,8,7.18,clear sky
301,Beidao,CN,34.5686,105.8933,58.55,94,100,2.28,overcast clouds
302,Danilovka,RU,50.3557,44.1168,82.62,20,37,8.75,scattered clouds
303,Chunskiy,RU,56.0815,99.6342,41.9,86,100,14.14,overcast clouds
304,Wattegama,LK,6.7989,81.4808,79.68,77,88,1.34,overcast clouds
305,Gimli,CA,50.6336,-96.9907,62.62,100,100,8.05,overcast clouds
306,Bandarbeyla,SO,9.4942,50.8122,75.74,84,6,27.2,clear sky
307,Plover,US,44.4564,-89.544,81.45,65,0,10.36,clear sky
308,Gazojak,TM,41.1875,61.4036,85.57,14,0,8.79,clear sky
309,Fort Nelson,CA,58.8053,-122.7002,49.59,81,75,3.44,broken clouds
310,Derzhavinsk,KZ,51.1,66.3167,69.69,27,0,5.53,clear sky
311,The Pas,CA,53.8251,-101.2541,62.62,72,75,19.57,broken clouds
312,Nadym,RU,65.5333,72.5167,51.26,72,100,11.43,light rain
313,Panama City,PA,8.9936,-79.5197,80.55,89,40,10.36,scattered clouds
314,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,16,0,2.3,clear sky
315,Lavrentiya,RU,65.5833,-171.0,42.22,88,100,4.72,overcast clouds
